"Tag Code","Event Type Name","Event Site Name","Event Date MMDDYYYY","Event Release Site Name","Event Release Date MMDDYYYY","Event Date Time Value","Event Length mm","Event Site Code Value","CTH Count"
"3DD.003BDA4C9A","Mark","LGR - Lower Granite Dam","6/1/2022","LGRRBR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility","6/3/2022","6/1/2022 10:47:58 AM","164","LGR","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:32:35 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:32:36 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:33:14 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:49:59 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:50:01 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:50:02 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:50:03 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/4/2024","","","8/4/2024 7:50:04 PM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/5/2024","","","8/5/2024 4:09:21 AM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/5/2024","","","8/5/2024 4:15:16 AM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/5/2024","","","8/5/2024 4:15:17 AM","","BO2","1"
"3DD.003BDA4C9A","Observation","BO2 - Bonneville Cascades Is. Ladder","8/5/2024","","","8/5/2024 4:21:06 AM","","BO2","1"
