"Tag Code","Mark File Name","Species Code","Species Name","Run Code","Run Name","Rear Type Code","Rear Type Name","Site Name","Obs Time Value","Antenna ID","Release Site Name","Release Date MMDDYYYY","Mark Length mm","Mark Life Stage Value","Obs Count"
"3DD.003BDA4C9A","DMM-2022-152-TP1.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/8/2025 5:11:44 PM","A4","LGRRBR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility","6/3/2022","164","Juvenile","1"
"3DD.003BDA4C9A","DMM-2022-152-TP1.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/8/2025 5:12:14 PM","A2","LGRRBR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Barge Transportation from the Facility","6/3/2022","164","Juvenile","1"
"3DD.003BDB67AE","SRV-2022-145-SV2.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/14/2025 8:34:50 PM","A4","LGRRRR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility","5/26/2022","176","Juvenile","1"
"3DD.003BDB67AE","SRV-2022-145-SV2.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/14/2025 8:36:04 PM","A2","LGRRRR - LGR - Release below the PIT-Tag Diversion System Gate with subsequent Return to the River at the Facility","5/26/2022","176","Juvenile","1"
"3DD.003D3A94FD","BDL-2020-305-V32.xml","3","Steelhead","2","Summer","H","Hatchery Reared","YFK - Yankee Fork Salmon River","4/16/2024 3:54:22 PM","A3","YANKFK - Yankee Fork Salmon River","5/3/2021","","Juvenile","1"
"3DD.003D3A94FD","BDL-2020-305-V32.xml","3","Steelhead","2","Summer","H","Hatchery Reared","YFK - Yankee Fork Salmon River","4/16/2024 3:54:48 PM","A1","YANKFK - Yankee Fork Salmon River","5/3/2021","","Juvenile","1"
"3DD.003D3A94FD","BDL-2020-305-V32.xml","3","Steelhead","2","Summer","H","Hatchery Reared","YFK - Yankee Fork Salmon River","5/3/2024 9:09:25 PM","A2","YANKFK - Yankee Fork Salmon River","5/3/2021","","Juvenile","1"
"3DD.003D493F6D","JSW-2023-254-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/14/2024 5:15:24 PM","A3","LGRLDR - LGR - Release into the Adult Fish Ladder","9/11/2023","580","Adult","1"
"3DD.003D493F6D","JSW-2023-254-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/14/2024 5:15:56 PM","A1","LGRLDR - LGR - Release into the Adult Fish Ladder","9/11/2023","580","Adult","1"
"3DD.003D494931","JSW-2023-265-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/11/2024 1:39:19 PM","A3","LGRLDR - LGR - Release into the Adult Fish Ladder","9/22/2023","570","Adult","1"
"3DD.003D494931","JSW-2023-265-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/11/2024 1:39:28 PM","A1","LGRLDR - LGR - Release into the Adult Fish Ladder","9/22/2023","570","Adult","1"
"3DD.003D494931","JSW-2023-265-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","5/4/2024 10:46:01 PM","A3","LGRLDR - LGR - Release into the Adult Fish Ladder","9/22/2023","570","Adult","1"
"3DD.003D495129","JSW-2023-256-001.xml","3","Steelhead","2","Summer","W","Wild Fish or Natural Production","YFK - Yankee Fork Salmon River","4/6/2024 2:11:15 PM","A3","LGRLDR - LGR - Release into the Adult Fish Ladder","9/13/2023","550","Adult","1"
